STD_SMILES,FRAGMENT,ERROR
COc1cc(C(C)C)c(Oc2cnc(NCCS(C)(=O)=O)nc2N)cc1I.FC1CON=C1,FC1CON=C1,COc1ccc(()CC)C)c(2c2nc(NCC(C((=O)-=O)nc2N)cc1[IH]C1O1NCC1F
CC1CNC(=O)c2[nH]c3ccc(C(=O)N(C)C)cc3c21,CC1=CCNC1C=O,CC1C1NC(#=Oc1[nH]2cncccncC(=OBrN(C)C)cc33c1
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nc5ccccc5s4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,NC(CC=O)=NO,1cc22cccc=(C#N)c(3)c2cc1NC()C=CCN)3Cl(
Cn1cc([N+](=O)[O-])c(C(=O)Nc2ccc3[nH]c(-c4ccccc4)nc3c2)n1,CN(C)c1cnon1,cn555cc([N+](==O)[O-])c(C(=O)Nc2c3cc34cc)-c4cccncc4)nc33c(n1
Cc1ccc(O)cc1Nc1cc(N2CCOCC2)nc(-n2cnc3ccccc32)n1,CC(=O)OC=NN=C,1ccc(O(cc1Nc(121cc)N21CCOCC2)nc(-n213ccccc321)n211
O=C(Nc1cccnc1)c1cc(Cl)ccc1OCc1ccccc1,NC1C2CNCC1C2,O#=C(N11cccnc1)c1cc)[N-])ccc)=O)cc1OCc1cccc1
COC(=O)CC(NC(=O)c1ccc(-c2cn[nH]c2)c(C)c1)c1ccccc1,C1CCC=CC1,=COC)=O)Cc11c1c(-[N-]c2n[nH]c2(c((C)c1(cccccc1
O=C(c1ccc(SC(F)(F)F)cc1)N1CCN2C(=O)c3ccccc3C12c1ccccc1,CNC(=O)C=O,O=C((c1-[N+]2)O1()F)(F)F)cc1#NCN2C(=O)c3cccccC12c122ccCcc221#
CN1CCN(Cc2cccc(C(=O)NCc3cccc(-c4cccc(CN5CCNCC5)c4)c3)c2)CC1,CC1C(N)C(C)C1N,1CC(4(Cc2c2ccc)C(=O)NCc3cccc)-c4c4cc((CN55c3)c2)CC
OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,CC1NCC=C1F,OC1(((ccccCl)cc2)c2cccc(F)(cC2#NCC212B)
Cc1cc(S(=O)(=O)Nc2ccc(F)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2F)c(C(F)(F)F)o1,OC1C=CCC12CN2,cc1(3c(S((=O((=(O)Nc2ccc(F)c(Nc3ncccc3Sc2cncnc4ncnc34)c2F[N-]4S[IH]oc2C5)c(C(F)(F)F)o1
O=C(NCc1cccnc1)C1Cc2c(-c3ccc(Cl)cc3)ccnc2O1,CC=CCC(=N)NN,-O=C(12cccCc12(1Cc2c(3cc(Cl)cc)ccnc2o
CCCCC(NC(=O)c1c[nH]c2ccccc12)C(=O)N1CC(Cc2ccccc2)NC(=O)C1CC(=O)O,CC1COCC(O)C1,CCCCC(NFC(=O)cCl13[nH]c2ccc4cn12)C(=O4Nccccc11NC(=O)C1C2CO)O
N#Cc1cn(-c2ccc(C(=O)O)cc2)c2ccc(OCCOCc3ccccc3)cc12,COC(C)=COC=O,N#Cc1cn3)c21ccc(OCCOCc3c2cccc)cc121=-ClC=#oBrO=1
COCC(C)NCc1ccc(C)cc1C,C1CN(C=N1)C2CC2,COCCC(NCcNccn(2)(C((cc1C
O=S(=O)(Nc1cc(-c2ccc3ncc(NCCOc4ccccc4)nc3c2)cnc1Cl)c1ccc(F)cc1,COCCOC(C)=C,O=S((#O(1c1c(-c2ccc3ncc[N-][IH]Br#S(O424B)nc3c2)cncClc11n1cc(F)cc1
COCC1CCN(C(C)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNCc2cccc(OC)c2)C1=O,NCc1cc(F)co1,COCCCCN(C(C)C((=O)NC(Cc2cc=(F(cc(F(2)C(O)CNCc211cccc)OF=[IH]Br21#sC)N[nH]5Cl44[nH]O#
CN1CCCC1Cc1c[nH]c2ccc(OC3CCCCC3)cc12,NCC1OC(=O)C=C1,=CN2CCCC1C11cccc2ccc)OC333CCC3C3)cc(
