SMILES,SMILES_TARGET
CNC(=O)c1cccc2ccc(N(CC3CC3)C(CCN3CCCC3)c3sc4cc(OC)ccc4c3Cl)c12,CNC(=O)c1cccc2ccc(N(CC3CC3)C(CCN3CCCC3)c3sc4cc(OC)ccc4c3Cl)c12
C#CCN(Cc1cc2c(cc1OC)CCn1c-2nc1nc(C(F)(F)F)cc1C(F)(F)F)OCC,C#CCN(Cc1cc2c(cc1OC)CCn1c-2nc1nc(C(F)(F)F)cc1C(F)(F)F)OCC
CCc1cc(S)nc(SCc2ccccc2)n1C,CCc1cc(S)nc(SCc2ccccc2)n1C
O=C(C=Cc1cn(-c2cccc(-c3ccccc3)c2)nnc1-c1ccccn1)NC1CCCCC1,O=C(C=Cc1cn(-c2cccc(-c3ccccc3)c2)nnc1-c1ccccn1)NC1CCCCC1
CC(C)NC(=O)C1CN(Cc2cc3c(cc2-c2ccccn2)Nc2nncn2n2)CCC(O)C3O1,CC(C)NC(=O)C1CN(Cc2cc3c(cc2-c2ccccn2)Nc2nncn2n2)CCC(O)C3O1
CS(=O)(=O)Nc1cc(C(O)CNC2CCN(c3ccc(Nc4ncc5c(n3)-c3c(oc5ccccc54)CC3)CC2)cc1)c1ccc(F)cc1,CS(=O)(=O)Nc1cc(C(O)CNC2CCN(c3ccc(Nc4ncc5c(n3)-c3c(oc5ccccc54)CC3)CC2)cc1)c1ccc(F)cc1
Cc1c(Cl)cccc1-c1cc(=O)n2nc(COccc3ccccc3)cc2n1-c1ccccc1,Cc1c(Cl)cccc1-c1cc(=O)n2nc(COccc3ccccc3)cc2n1-c1ccccc1
CN(C)c1cccc(-c2cc3c(nc2C(C)CN2CCc4cccc(C(F)(F)F)c4C2)cc(=O)n3C)c1,CN(C)c1cccc(-c2cc3c(nc2C(C)CN2CCc4cccc(C(F)(F)F)c4C2)cc(=O)n3C)c1
Cn1c(N)c(C#N)c2cc([N+](=O)[O-])ccc3c21,Cn1c(N)c(C#N)c2cc([N+](=O)[O-])ccc3c21
COc1nc(-c2nc3n(n2)C2CC2C(F)=C4C(=O)Oc2ccc(F)cc23)ccc1-n1cnc(C)c1,COc1nc(-c2nc3n(n2)C2CC2C(F)=C4C(=O)Oc2ccc(F)cc23)ccc1-n1cnc(C)c1
CC(C)C(=O)NC(CC1CCCCC1)C(O)C(O)C(CC1CCCCC1)NC(=O)C(Cc1cscn1)NC(=O)C(Cc1cccnc1)NC(=O)C(Cc1c[nH]cn1)NC(=O,CC(C)C(=O)NC(CC1CCCCC1)C(O)C(O)C(CC1CCCCC1)NC(=O)C(Cc1cscn1)NC(=O)C(Cc1cccnc1)NC(=O)C(Cc1c[nH]cn1)NC(=O
N=C(N)c1ccc(Nc(=N)c2cccc(S(=O)(=O)O)c2)cc1,N=C(N)c1ccc(Nc(=N)c2cccc(S(=O)(=O)O)c2)cc1
CN1CCC23c4c5ccc(O)c4OC2c(C(F)(F)F)nn3-c2ccccc2NC3C1,CN1CCC23c4c5ccc(O)c4OC2c(C(F)(F)F)nn3-c2ccccc2NC3C1
Cc1ccc2c(c(C=Cc3ccccn3)c(=O)oc2=O)c1,Cc1ccc2c(c(C=Cc3ccccn3)c(=O)oc2=O)c1
CC(c1sc(-c2cccc(-c3ccccc3OCC[N+](C)(C)C)cc2)nc1-c1ccccc1)N1CC(=O)N(Cc2ccccc2)C(CC(C)C)C1=O,CC(c1sc(-c2cccc(-c3ccccc3OCC[N+](C)(C)C)cc2)nc1-c1ccccc1)N1CC(=O)N(Cc2ccccc2)C(CC(C)C)C1=O
CN1CCC2C(c3ccc(Cl)cc3)C3Cc4c[nH]c5c5C2C3(C)CCN1CC3,CN1CCC2C(c3ccc(Cl)cc3)C3Cc4c[nH]c5c5C2C3(C)CCN1CC3
O=C1CCc2c(Oc3ccc4c(c3)C3CCN(CC3CCO3)C4=O)cccc2N1,O=C1CCc2c(Oc3ccc4c(c3)C3CCN(CC3CCO3)C4=O)cccc2N1
CNC(=O)c1cccc(-n2cnc(-c3ccnc4[nH]c(C5CCNCC5)cc34)c2=O)c1,CNC(=O)c1cccc(-n2cnc(-c3ccnc4[nH]c(C5CCNCC5)cc34)c2=O)c1
CCCNCc1c(O)ccc2c(=O)c(Oc3ccccc3Br)c3c(n12)CCCC3,CCCNCc1c(O)ccc2c(=O)c(Oc3ccccc3Br)c3c(n12)CCCC3
Nc1nsc(=O)c1O,Nc1nsc(=O)c1O
Clc1cccc(-c2cn(CCC3CCc4cccnc44)cn3)cc2c1,Clc1cccc(-c2cn(CCC3CCc4cccnc44)cn3)cc2c1
COc1cc(C(=O)Nc2ccc3nc(-c4ccc(OCCN5CCCC4)cc3)c(-c3ccc(F)cc3)n2)cc(OC)c1OC,COc1cc(C(=O)Nc2ccc3nc(-c4ccc(OCCN5CCCC4)cc3)c(-c3ccc(F)cc3)n2)cc(OC)c1OC
COc1ccc(-c2c(=O)n(CCCCN3CCN(c4ccccc4OC)CC3)c(=O)c3ncc(C)nc23)cc1,COc1ccc(-c2c(=O)n(CCCCN3CCN(c4ccccc4OC)CC3)c(=O)c3ncc(C)nc23)cc1
c1ccc(C2CCc3cc(Oc4ncc(CC(=O)NC5Cc6ccccc6C5c5ccccc5)ccc4C3)[nH]2)cc1,c1ccc(C2CCc3cc(Oc4ncc(CC(=O)NC5Cc6ccccc6C5c5ccccc5)ccc4C3)[nH]2)cc1
C=CC(=O)N(C)CC1Oc2nc(C)ccc2=NOC1C(=O)NC(C)c1ccccc1,C=CC(=O)N(C)CC1Oc2nc(C)ccc2=NOC1C(=O)NC(C)c1ccccc1
CCOC(=O)n1c(=O)n(Cc2ccc(C(=O)c3ccccc3)cc2)cc1=O,CCOC(=O)n1c(=O)n(Cc2ccc(C(=O)c3ccccc3)cc2)cc1=O
COc1ccc(C(=O)Oc2c(O)c3c(c(O)c1OC)CCC(C)(C)O3,COc1ccc(C(=O)Oc2c(O)c3c(c(O)c1OC)CCC(C)(C)O3
CCCCc1ncc(C=C(CC2CC(=O)NC2=O)C(O)Cc2nc(COC(=O)c3ccccc3)cs2)n1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2cccc(C(=N)N,CCCCc1ncc(C=C(CC2CC(=O)NC2=O)C(O)Cc2nc(COC(=O)c3ccccc3)cs2)n1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2cccc(C(=N)N
