0,1,2
C,1,1
N,2,1
O,3,1
F,4,1
CC,1,1
CN,2,1
CO,3,1
CF,4,1
FF,5,1
C=C,6,1
C=O,7,1
O=O,8,1
C#C,9,1
CCC,1,1
CCN,2,1
CCO,3,1
CCF,4,1
FCF,5,1
CNC,6,1
COC,7,1
CC=C,8,1
CC=O,9,1
CC#N,10,1
NC=N,11,1
NC=O,12,2
OC=O,13,1
FC=C,14,1
NN=C,15,1
ON=C,16,1
CC#C,17,1
C1CC1,18,1
C1CN1,19,1
C1CO1,20,1
CC(C)C,1,1
CC(C)N,2,1
CC(C)O,3,1
CC(C)F,4,1
CC(F)F,5,1
FC(F)F,6,1
CN(C)C,7,1
CC(C)=C,8,1
CC(C)=O,9,1
CC(N)=N,10,1
CC(N)=O,11,2
CC(O)=O,12,1
CC(F)=C,13,1
NC(N)=N,14,1
NC(N)=O,15,1
OC(O)=O,16,1
FC(F)=C,17,1
CCCC,18,1
CCCN,19,1
CCCO,20,1
CCCF,21,1
NCCN,22,1
NCCO,23,1
NCCF,24,1
OCCO,25,1
OCCF,26,1
FCCF,27,1
CCNC,28,1
CCOC,29,1
CCC=C,30,1
CCC=O,31,1
CCC#N,32,1
NCC=C,33,1
OCC=C,34,1
OCC=O,35,1
OCC#N,36,1
FCC=C,37,1
FCC=O,38,1
FCC#N,39,1
CNC=N,40,2
CNC=O,41,2
NNC=N,42,2
NNC=O,43,2
ONC=N,44,2
ONC=O,45,2
CNN=C,46,1
COC=C,47,1
COC=O,48,1
CON=C,49,1
CCC#C,50,1
NCC#C,51,1
OCC#C,52,1
FCC#C,53,1
C=CC=C,54,1
C=CC=O,55,1
C=CC#N,56,1
O=CC=O,57,1
O=CC#N,58,1
N#CC#N,59,1
C=NN=C,60,1
C=CC#C,61,1
O=CC#C,62,1
C#CC#N,63,1
C#CC#C,64,1
CC=CC,65,1
CC=CF,66,1
FC=CF,67,1
CC=NN,68,1
CC=NO,69,1
CC#CC,70,1
CC1CC1,71,1
NC1CC1,72,1
OC1CC1,73,1
FC1CC1,74,1
CC1CN1,75,1
CC1CO1,76,1
CN1CC1,77,1
C1CCC1,78,1
C1CNC1,79,1
C1COC1,80,1
CC(C)(C)C,1,1
CC(C)(C)N,2,1
CC(C)(C)O,3,1
CC(C)(C)F,4,1
CC(C)(F)F,5,1
CC(F)(F)F,6,1
FC(F)(F)F,7,1
CCC(C)C,8,1
CC(C)CN,9,1
CC(C)CO,10,1
CC(C)CF,11,1
CCC(C)N,12,1
CC(N)CN,13,1
CC(N)CO,14,1
CC(N)CF,15,1
CCC(C)O,16,1
CC(O)CN,17,1
CC(O)CO,18,1
CC(O)CF,19,1
CCC(C)F,20,1
CC(F)CN,21,1
CC(F)CO,22,1
CC(F)CF,23,1
CCC(F)F,24,1
NCC(F)F,25,1
OCC(F)F,26,1
FCC(F)F,27,1
CNC(C)C,28,1
COC(C)C,29,1
CCN(C)C,30,1
CC(C)C=C,31,1
CC(C)C=O,32,1
CC(C)C#N,33,1
CC(N)C=C,34,1
CC(O)C=C,35,1
CC(O)C=O,36,1
CC(O)C#N,37,1
CC(F)C=C,38,1
CC(F)C=O,39,1
CC(F)C#N,40,1
FC(F)C=C,41,1
FC(F)C=O,42,1
FC(F)C#N,43,1
CN(C)C=N,44,1
CN(C)C=O,45,1
CN(N)C=N,46,1
CN(N)C=O,47,1
CN(O)C=N,48,1
CN(O)C=O,49,1
CN(C)N=C,50,1
CC(C)C#C,51,1
CC(N)C#C,52,1
CC(O)C#C,53,1
CC(F)C#C,54,1
FC(F)C#C,55,1
CCC(C)=C,56,1
CC(=C)CN,57,1
CC(=C)CO,58,1
CC(=C)CF,59,1
CCC(C)=O,60,1
CC(=O)CO,61,1
CC(=O)CF,62,1
CCC(N)=N,63,1
NCC(N)=N,64,1
NC(=N)CO,65,1
NC(=N)CF,66,1
CCC(N)=O,67,2
NCC(N)=O,68,2
NC(=O)CO,69,2
NC(=O)CF,70,2
CCC(O)=O,71,1
NCC(O)=O,72,1
